t	V	n	m	h
0	-65.0385	0.317653	0.0529014	0.5961
0.01	-65.0768	0.317604	0.0528925	0.596102
0.02	-65.1147	0.317555	0.052874	0.596105
0.03	-65.1525	0.317505	0.0528462	0.596109
0.04	-65.1899	0.317454	0.0528098	0.596116
0.05	-65.2271	0.317401	0.052765	0.596123
0.06	-65.264	0.317348	0.0527123	0.596133
0.07	-65.3006	0.317294	0.0526522	0.596144
0.08	-65.337	0.317239	0.0525851	0.596156
0.09	-65.3732	0.317184	0.0525113	0.596169
0.1	-65.4091	0.317127	0.0524312	0.596185
0.11	-65.4447	0.317069	0.0523451	0.596201
0.12	-65.4801	0.317011	0.0522535	0.596219
0.13	-65.5153	0.316951	0.0521565	0.596239
0.14	-65.5503	0.316891	0.0520545	0.596259
0.15	-65.585	0.31683	0.0519479	0.596282
0.16	-65.6194	0.316768	0.0518368	0.596305
0.17	-65.6536	0.316705	0.0517217	0.59633
0.18	-65.6877	0.316642	0.0516026	0.596356
0.19	-65.7214	0.316578	0.0514799	0.596384
0.2	-65.755	0.316512	0.0513538	0.596413
0.21	-65.7883	0.316446	0.0512246	0.596443
0.22	-65.8214	0.31638	0.0510924	0.596474
0.23	-65.8543	0.316312	0.0509575	0.596507
0.24	-65.887	0.316244	0.05082	0.596541
0.25	-65.9194	0.316175	0.0506801	0.596577
0.26	-65.9517	0.316105	0.0505381	0.596613
0.27	-65.9837	0.316035	0.0503942	0.596651
0.28	-66.0155	0.315963	0.0502483	0.59669
0.29	-66.0471	0.315891	0.0501008	0.59673
0.3	-66.0785	0.315819	0.0499518	0.596771
0.31	-66.1097	0.315745	0.0498014	0.596814
0.32	-66.1407	0.315671	0.0496497	0.596858
0.33	-66.1715	0.315597	0.0494969	0.596903
0.34	-66.202	0.315521	0.0493432	0.596949
0.35	-66.2324	0.315445	0.0491886	0.596996
0.36	-66.2626	0.315368	0.0490332	0.597044
0.37	-66.2925	0.315291	0.0488771	0.597094
0.38	-66.3223	0.315212	0.0487206	0.597144
0.39	-66.3519	0.315134	0.0485635	0.597196
0.4	-66.3813	0.315054	0.0484061	0.597249
0.41	-66.4104	0.314974	0.0482485	0.597303
0.42	-66.4394	0.314894	0.0480906	0.597358
0.43	-66.4682	0.314812	0.0479327	0.597413
0.44	-66.4968	0.31473	0.0477747	0.597471
0.45	-66.5252	0.314648	0.0476168	0.597529
0.46	-66.5534	0.314565	0.0474589	0.597588
0.47	-66.5815	0.314481	0.0473013	0.597648
0.48	-66.6093	0.314397	0.0471439	0.597709
0.49	-66.6369	0.314312	0.0469867	0.597771
0.5	-66.6644	0.314226	0.04683	0.597834
0.51	-66.6917	0.31414	0.0466736	0.597898
0.52	-66.7188	0.314054	0.0465176	0.597964
0.53	-66.7457	0.313967	0.0463622	0.59803
0.54	-66.7724	0.313879	0.0462073	0.598097
0.55	-66.799	0.313791	0.046053	0.598165
0.56	-66.8253	0.313702	0.0458992	0.598234
0.57	-66.8515	0.313613	0.0457462	0.598303
0.58	-66.8775	0.313523	0.0455938	0.598374
0.59	-66.9033	0.313433	0.0454421	0.598446
0.6	-66.929	0.313342	0.0452912	0.598518
0.61	-66.9544	0.313251	0.0451411	0.598592
0.62	-66.9797	0.313159	0.0449917	0.598666
0.63	-67.0048	0.313067	0.0448432	0.598742
0.64	-67.0298	0.312974	0.0446956	0.598818
0.65	-67.0546	0.312881	0.0445488	0.598895
0.66	-67.0791	0.312787	0.0444029	0.598972
0.67	-67.1036	0.312693	0.0442579	0.599051
0.68	-67.1278	0.312598	0.0441138	0.599131
0.69	-67.1519	0.312503	0.0439706	0.599211
0.7	-67.1758	0.312408	0.0438285	0.599292
0.71	-67.1996	0.312312	0.0436873	0.599374
0.72	-67.2231	0.312216	0.043547	0.599457
0.73	-67.2465	0.312119	0.0434078	0.59954
0.74	-67.2698	0.312022	0.0432695	0.599625
0.75	-67.2929	0.311924	0.0431323	0.59971
0.76	-67.3158	0.311826	0.0429961	0.599796
0.77	-67.3385	0.311727	0.0428609	0.599882
0.78	-67.3611	0.311629	0.0427267	0.59997
0.79	-67.3835	0.311529	0.0425936	0.600058
0.8	-67.4058	0.31143	0.0424615	0.600147
0.81	-67.4279	0.31133	0.0423304	0.600236
0.82	-67.4498	0.311229	0.0422004	0.600327
0.83	-67.4716	0.311129	0.0420715	0.600418
0.839999	-67.4932	0.311027	0.0419436	0.60051
0.849999	-67.5147	0.310926	0.0418167	0.600602
0.859999	-67.536	0.310824	0.0416909	0.600695
0.869999	-67.5572	0.310722	0.0415662	0.600789
0.879999	-67.5782	0.310619	0.0414425	0.600884
0.889999	-67.599	0.310517	0.0413198	0.600979
0.899999	-67.6197	0.310413	0.0411982	0.601075
0.909999	-67.6402	0.31031	0.0410777	0.601171
0.919999	-67.6606	0.310206	0.0409582	0.601269
0.929999	-67.6809	0.310102	0.0408397	0.601366
0.939999	-67.7009	0.309997	0.0407223	0.601465
0.949999	-67.7209	0.309892	0.0406059	0.601564
0.959999	-67.7407	0.309787	0.0404906	0.601664
0.969999	-67.7603	0.309682	0.0403763	0.601764
0.979999	-67.7798	0.309576	0.040263	0.601865
0.989999	-67.7991	0.30947	0.0401507	0.601967
0.999999	-67.8184	0.309364	0.0400395	0.602069
1.01	-67.8374	0.309257	0.0399292	0.602171
1.02	-67.8563	0.30915	0.03982	0.602275
1.03	-67.8751	0.309043	0.0397118	0.602379
1.04	-67.8937	0.308935	0.0396046	0.602483
1.05	-67.9122	0.308828	0.0394983	0.602588
1.06	-67.9305	0.30872	0.0393931	0.602694
1.07	-67.9487	0.308612	0.0392888	0.6028
1.08	-67.9668	0.308503	0.0391855	0.602907
1.09	-67.9847	0.308394	0.0390832	0.603014
1.1	-68.0025	0.308285	0.0389818	0.603122
1.11	-68.0202	0.308176	0.0388814	0.60323
1.12	-68.0377	0.308067	0.038782	0.603339
1.13	-68.0551	0.307957	0.0386835	0.603449
1.14	-68.0723	0.307847	0.0385859	0.603558
1.15	-68.0894	0.307737	0.0384892	0.603669
1.16	-68.1064	0.307626	0.0383935	0.60378
1.17	-68.1233	0.307516	0.0382987	0.603891
1.18	-68.14	0.307405	0.0382048	0.604003
1.19	-68.1566	0.307294	0.0381118	0.604115
1.2	-68.173	0.307183	0.0380197	0.604228
1.21	-68.1893	0.307071	0.0379285	0.604341
1.22	-68.2055	0.30696	0.0378382	0.604455
1.23	-68.2216	0.306848	0.0377487	0.604569
1.24	-68.2375	0.306736	0.0376601	0.604684
1.25	-68.2534	0.306624	0.0375724	0.604799
1.26	-68.2691	0.306511	0.0374855	0.604915
1.27	-68.2846	0.306399	0.0373995	0.605031
1.28	-68.3001	0.306286	0.0373143	0.605147
1.29	-68.3154	0.306173	0.0372299	0.605264
1.3	-68.3306	0.30606	0.0371464	0.605381
1.31	-68.3456	0.305947	0.0370636	0.605499
1.32	-68.3606	0.305834	0.0369817	0.605617
1.33	-68.3754	0.30572	0.0369006	0.605736
1.34	-68.3901	0.305606	0.0368203	0.605855
1.35	-68.4047	0.305493	0.0367408	0.605974
1.36	-68.4192	0.305379	0.036662	0.606094
1.37	-68.4336	0.305264	0.0365841	0.606214
1.38	-68.4478	0.30515	0.0365069	0.606334
1.39	-68.4619	0.305036	0.0364305	0.606455
1.4	-68.4759	0.304921	0.0363548	0.606576
1.41	-68.4898	0.304807	0.0362798	0.606698
1.42	-68.5036	0.304692	0.0362057	0.60682
1.43	-68.5173	0.304577	0.0361322	0.606942
1.44	-68.5308	0.304462	0.0360595	0.607065
1.45	-68.5443	0.304347	0.0359875	0.607188
1.46	-68.5576	0.304231	0.0359162	0.607311
1.47	-68.5708	0.304116	0.0358456	0.607435
1.48	-68.5839	0.304	0.0357757	0.607559
1.49	-68.5969	0.303885	0.0357065	0.607683
1.5	-68.6098	0.303769	0.035638	0.607808
